",""X"",""participant"",""session"",""list"",""itemID"",""sequential_trial"",""condition"",""capitalization"",""determiner"",""ReadingTime"""
"1,1,""as08el22"",1,""listB_REV"",13,3,""+C/+D"",""cap"",""det"",772"
"2,2,""de10ch10"",1,""listB_REV"",13,3,""+C/+D"",""cap"",""det"",357"
"3,3,""fs06er06"",1,""listB_REV"",13,3,""+C/+D"",""cap"",""det"",833"
"4,4,""ho07es17"",1,""listB_REV"",13,3,""+C/+D"",""cap"",""det"",495"
"5,5,""ke05rg01"",1,""listB_REV"",13,3,""+C/+D"",""cap"",""det"",343"
"6,6,""pt07en03"",1,""listB_REV"",13,3,""+C/+D"",""cap"",""det"",192"
"7,7,""ck06nk23"",2,""listB_REV"",13,3,""+C/+D"",""cap"",""det"",456"
"8,8,""en04do16"",2,""listB_REV"",13,3,""+C/+D"",""cap"",""det"",1094"
"9,9,""ff06an05"",2,""listB_REV"",13,3,""+C/+D"",""cap"",""det"",537"
"10,10,""ht08en04"",2,""listB_REV"",13,3,""+C/+D"",""cap"",""det"",89"
"11,11,""ng10er10"",2,""listB_REV"",13,3,""+C/+D"",""cap"",""det"",448"
"12,12,""nn05ed12"",2,""listB_REV"",13,3,""+C/+D"",""cap"",""det"",393"
"13,13,""nz09ko24"",2,""listB_REV"",13,3,""+C/+D"",""cap"",""det"",129"
"14,14,""as08el22"",1,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",784"
"15,15,""de10ch10"",1,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",321"
"16,16,""fs06er06"",1,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",1213"
"17,17,""ho07es17"",1,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",493"
"18,18,""ke05rg01"",1,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",541"
"19,19,""ke09en22"",1,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",288"
"20,20,""pt07en03"",1,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",500"
"21,21,""au05rd24"",2,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",137"
"22,22,""ck06nk23"",2,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",480"
"23,23,""en04do16"",2,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",835"
"24,24,""ff06an05"",2,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",876"
"25,25,""ht08en04"",2,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",336"
"26,26,""ng09in10"",2,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",73"
"27,27,""ng10er10"",2,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",176"
"28,28,""nn05ed12"",2,""listB_REV"",12,5,""+C/+D"",""cap"",""det"",174"
"29,29,""ck06nk23"",1,""listA"",14,11,""+C/+D"",""cap"",""det"",378"
"30,30,""en04do16"",1,""listA"",14,11,""+C/+D"",""cap"",""det"",1026"
"31,31,""er05ns14"",1,""listA"",14,11,""+C/+D"",""cap"",""det"",824"
"32,32,""ff06an05"",1,""listA"",14,11,""+C/+D"",""cap"",""det"",410"
"33,33,""ig07en03"",1,""listA"",14,11,""+C/+D"",""cap"",""det"",338"
"34,34,""ng09in10"",1,""listA"",14,11,""+C/+D"",""cap"",""det"",485"
"35,35,""de10ch10"",2,""listA"",14,11,""+C/+D"",""cap"",""det"",480"
"36,36,""fs06er06"",2,""listA"",14,11,""+C/+D"",""cap"",""det"",68"
"37,37,""in06an10"",2,""listA"",14,11,""+C/+D"",""cap"",""det"",559"
"38,38,""ld06ed27"",2,""listA"",14,11,""+C/+D"",""cap"",""det"",321"
"39,39,""pp07us10"",2,""listA"",14,11,""+C/+D"",""cap"",""det"",285"
"40,40,""pt07en03"",2,""listA"",14,11,""+C/+D"",""cap"",""det"",141"
"41,41,""au05rd24"",1,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",1018"
"42,42,""en04el04"",1,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",785"
"43,43,""ht08en04"",1,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",1681"
"44,44,""ke06er23"",1,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",523"
"45,45,""ng10er10"",1,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",254"
"46,46,""nn05as16"",1,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",107"
"47,47,""nn05ed12"",1,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",502"
"48,48,""nz09ko24"",1,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",190"
"49,49,""rs06nz12"",1,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",225"
"50,50,""as08el22"",2,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",239"
"51,51,""er07rd18"",2,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",264"
"52,52,""ho07es17"",2,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",426"
"53,53,""ke05en10"",2,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",196"
"54,54,""ke05rg01"",2,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",241"
"55,55,""ke09en22"",2,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",1831"
"56,56,""os09er29"",2,""listA_REV"",16,12,""+C/+D"",""cap"",""det"",910"
"57,57,""ck06nk23"",1,""listA"",17,17,""+C/+D"",""cap"",""det"",619"
"58,58,""en04do16"",1,""listA"",17,17,""+C/+D"",""cap"",""det"",629"
"59,59,""er05ns14"",1,""listA"",17,17,""+C/+D"",""cap"",""det"",375"
"60,60,""ff06an05"",1,""listA"",17,17,""+C/+D"",""cap"",""det"",499"
"61,61,""ig07en03"",1,""listA"",17,17,""+C/+D"",""cap"",""det"",414"
"62,62,""ng09in10"",1,""listA"",17,17,""+C/+D"",""cap"",""det"",166"
"63,63,""de10ch10"",2,""listA"",17,17,""+C/+D"",""cap"",""det"",409"
"64,64,""fs06er06"",2,""listA"",17,17,""+C/+D"",""cap"",""det"",186"
"65,65,""in06an10"",2,""listA"",17,17,""+C/+D"",""cap"",""det"",258"
"66,66,""ld06ed27"",2,""listA"",17,17,""+C/+D"",""cap"",""det"",441"
"67,67,""pp07us10"",2,""listA"",17,17,""+C/+D"",""cap"",""det"",179"
"68,68,""pt07en03"",2,""listA"",17,17,""+C/+D"",""cap"",""det"",263"
"69,69,""tz02ld25"",2,""listA"",17,17,""+C/+D"",""cap"",""det"",344"
"70,70,""er06nk20"",1,""listB"",3,21,""+C/+D"",""cap"",""det"",447"
"71,71,""er07rd18"",1,""listB"",3,21,""+C/+D"",""cap"",""det"",724"
"72,72,""in06an10"",1,""listB"",3,21,""+C/+D"",""cap"",""det"",289"
"73,73,""ke05en10"",1,""listB"",3,21,""+C/+D"",""cap"",""det"",519"
"74,74,""ld06ed27"",1,""listB"",3,21,""+C/+D"",""cap"",""det"",555"
"75,75,""os09er29"",1,""listB"",3,21,""+C/+D"",""cap"",""det"",244"
"76,76,""pp07us10"",1,""listB"",3,21,""+C/+D"",""cap"",""det"",400"
"77,77,""tz02ld25"",1,""listB"",3,21,""+C/+D"",""cap"",""det"",341"
"78,78,""en04el04"",2,""listB"",3,21,""+C/+D"",""cap"",""det"",280"
"79,79,""er05ns14"",2,""listB"",3,21,""+C/+D"",""cap"",""det"",1286"
"80,80,""ig07en03"",2,""listB"",3,21,""+C/+D"",""cap"",""det"",587"
"81,81,""ke06er23"",2,""listB"",3,21,""+C/+D"",""cap"",""det"",303"
"82,82,""nn05as16"",2,""listB"",3,21,""+C/+D"",""cap"",""det"",317"
"83,83,""rs06nz12"",2,""listB"",3,21,""+C/+D"",""cap"",""det"",314"
"84,84,""er06nk20"",1,""listB"",18,25,""+C/+D"",""cap"",""det"",501"
"85,85,""er07rd18"",1,""listB"",18,25,""+C/+D"",""cap"",""det"",299"
"86,86,""in06an10"",1,""listB"",18,25,""+C/+D"",""cap"",""det"",431"
"87,87,""ke05en10"",1,""listB"",18,25,""+C/+D"",""cap"",""det"",771"
"88,88,""ld06ed27"",1,""listB"",18,25,""+C/+D"",""cap"",""det"",643"
"89,89,""os09er29"",1,""listB"",18,25,""+C/+D"",""cap"",""det"",276"
"90,90,""pp07us10"",1,""listB"",18,25,""+C/+D"",""cap"",""det"",218"
"91,91,""tz02ld25"",1,""listB"",18,25,""+C/+D"",""cap"",""det"",449"
"92,92,""en04el04"",2,""listB"",18,25,""+C/+D"",""cap"",""det"",702"
"93,93,""er05ns14"",2,""listB"",18,25,""+C/+D"",""cap"",""det"",477"
"94,94,""ig07en03"",2,""listB"",18,25,""+C/+D"",""cap"",""det"",471"
"95,95,""ke06er23"",2,""listB"",18,25,""+C/+D"",""cap"",""det"",513"
"96,96,""nn05as16"",2,""listB"",18,25,""+C/+D"",""cap"",""det"",375"
"97,97,""rs06nz12"",2,""listB"",18,25,""+C/+D"",""cap"",""det"",284"
"98,98,""ck06nk23"",1,""listA"",2,27,""+C/+D"",""cap"",""det"",370"
"99,99,""en04do16"",1,""listA"",2,27,""+C/+D"",""cap"",""det"",264"
"100,100,""er05ns14"",1,""listA"",2,27,""+C/+D"",""cap"",""det"",527"
"101,101,""ff06an05"",1,""listA"",2,27,""+C/+D"",""cap"",""det"",337"
"102,102,""ig07en03"",1,""listA"",2,27,""+C/+D"",""cap"",""det"",253"
"103,103,""de10ch10"",2,""listA"",2,27,""+C/+D"",""cap"",""det"",602"
